"(Intercept)","AI","elev","MAP","MAT","mean_ARVI","mean_EVI","mean_LAI","mean_NDVI","mean_PRI","mean_SAVI","meanheight","Prop_Bare","Prop_Shrubs","df","logLik","AIC","delta","weight"
-19.2091122949293,NA,0.00811540013913967,NA,0.567424056013679,NA,72.7362608077769,NA,13.1565001451854,NA,-79.3824698697008,0.0239524923859888,NA,2.76670465140248,9,-297.316213254756,612.632426509512,0,0.00891411528734026
-23.0739787457459,NA,0.00727951762662653,NA,0.488545567929303,-33.4561989920902,158.748819806784,NA,60.343199533039,NA,-183.697177868036,0.0238371249665897,NA,2.56376696064991,10,-296.566724739462,613.133449478923,0.501022969411338,0.0069387699836431
-11.6332430043278,NA,0.00568181064322077,NA,0.342787165536585,11.8310656240767,NA,NA,NA,NA,NA,0.0249350485728684,NA,2.55444370338579,7,-299.721725574038,613.443451148075,0.811024638563254,0.00594246296762088
-18.5354943917461,NA,0.00840135647220787,NA,0.592778476540449,7.98468495021064,54.2406794950423,NA,NA,NA,-53.6989129082419,0.0244004655644946,NA,2.89022003550559,9,-297.750643593637,613.501287187274,0.868860677762655,0.00577307962620944
-7.44357831753292,-26.8839737852287,0.00468224404207695,0.021136977030967,NA,9.03570381435784,NA,NA,NA,NA,NA,0.0253336253269731,NA,3.04429891171196,8,-298.752988519795,613.50597703959,0.87355053007775,0.0057595580405402
-11.2760909208128,-42.6723668970671,0.00629541804074761,0.0311548152221122,NA,NA,54.9030856101851,NA,NA,NA,-44.3043275403887,0.0276907074453484,NA,3.49719997335418,9,-297.803848257268,613.607696514537,0.975270005025209,0.00547395289423693
-18.0765504463844,NA,0.00875576288736496,NA,0.583071771490891,NA,NA,5.17189460860505,NA,21.2769528818719,NA,0.0265168149459482,NA,3.25288668092602,8,-298.81933136035,613.638662720699,1.00623621118757,0.00538985186982587
-15.6956925708107,NA,0.00751096919848896,NA,0.508160740107355,NA,62.1853679127734,11.4912245268756,15.9399828476685,NA,-105.38951663624,0.0232487091545868,NA,2.57571066675535,10,-296.825779307333,613.651558614665,1.01913210515363,0.00535521019458734
-15.7080747760748,NA,0.00771740142700583,NA,0.519167666628122,9.30206544726879,NA,NA,NA,9.77313930464536,NA,0.024676318517112,NA,2.77077465923076,8,-298.884191271304,613.768382542609,1.13595603309705,0.00505136241061103
-9.17213708795063,NA,0.0063491161887865,NA,0.402362682668305,14.6260590320861,NA,18.2827452073811,NA,NA,-59.622503417976,0.0230796785103919,NA,2.36629515735047,9,-297.899883372604,613.799766745207,1.16734023569552,0.00497271460846336
-13.9228372528354,NA,0.00746137559712925,NA,0.513198946286298,21.0596287238202,NA,NA,-12.4296244155399,NA,NA,0.0241055301839672,NA,2.66326308798048,8,-298.937610271754,613.875220543507,1.24279403399555,0.00478860429826993
-12.945016836512,NA,0.00774142459433102,NA,0.499559582006621,NA,NA,21.4252739053085,12.3685545336375,16.3121054434846,-65.508844541958,0.02363537571316,NA,2.66048900313148,10,-296.971297519331,613.942595038663,1.31016852915116,0.00462997627157123
-4.66339315464624,NA,0.00211145211312377,0.00833693437107055,NA,8.16806733130776,NA,NA,NA,NA,NA,0.0248818940643947,NA,3.50586444130016,7,-299.993421850174,613.986843700347,1.35441719083565,0.00452866598832291
-16.8617804709661,NA,0.00779078648116912,NA,0.512913278724545,NA,NA,NA,9.91358555323991,17.0454149069053,NA,0.0252359820137476,NA,2.84445770308818,8,-299.038129284392,614.076258568784,1.44383205927227,0.00433066009853409
-16.2832878658795,NA,0.00900510873331593,NA,0.600502444653406,NA,NA,17.602942157527,NA,22.122646170345,-36.7908088543554,0.0259780543652497,NA,3.20522679085726,9,-298.079243089004,614.158486178008,1.52605966849637,0.0041562206904767
-20.9363967210572,NA,0.00871573417369666,NA,0.612757530184576,NA,86.8465242145486,NA,NA,NA,-73.9131924245618,0.0268716775568699,NA,3.28801286068337,8,-299.084787483552,614.169574967104,1.53714845759225,0.00413324072700006
-16.9628509637867,-31.1940362125838,0.0051526261780281,0.023706279945435,NA,-42.1707482588304,160.397286763046,NA,66.9086569477492,NA,-183.502899999154,0.0254088367488304,NA,2.98859640266432,11,-296.106993873029,614.213987746058,1.58156123654578,0.00404246797135068
-18.3309920149943,NA,0.00794973760592582,NA,0.555261601985205,NA,69.5557344242622,NA,11.6203938142384,NA,-74.9346521683639,0.0238673948688866,-0.67781761383751,2.85849411669238,10,-297.117877077464,614.235754154928,1.60332764541579,0.00399871150318131
-9.13457179603061,-35.9496848845853,0.00588001797277041,0.0271707815002775,NA,NA,NA,4.40707772135969,NA,12.3097898232252,NA,0.027341951412509,NA,3.50944606343348,9,-298.139436919371,614.278873838742,1.64644732923045,0.00391342262637713
-19.4623857520406,NA,0.00883516931472705,NA,0.598114151031014,NA,14.3435857404844,NA,NA,18.1574716103676,NA,0.0267492137430208,NA,3.28044940151077,8,-299.169822308652,614.339644617304,1.70721810779264,0.00379630017330198
-9.8140083962346,NA,0.00451203861683718,0.00456325201766889,0.220891324291338,10.0792408664658,NA,NA,NA,NA,NA,0.0237777426530968,NA,3.16145780218756,8,-299.17393714326,614.34787428652,1.71544777700842,0.00378071112114856
-15.6010846784752,NA,0.00222069927875794,0.00767926809628439,NA,-52.4535185676478,171.201024414317,NA,83.0920780849882,NA,-200.972558287644,0.023890057829542,NA,3.28319885194674,10,-297.212966911726,614.425933823452,1.79350731394004,0.00363599336228704
-22.3185239863026,NA,0.00696668294712841,NA,0.463672579315159,-37.0970968306981,163.849579527112,NA,63.4210483471765,NA,-189.092421411593,0.0237106003168625,-0.907789920082701,2.66461421557607,11,-296.216150654588,614.432301309176,1.79987479966371,0.00362443570244527
-18.8631868149784,NA,0.00774594346407329,NA,0.54291114572508,NA,89.7382791135691,NA,15.4175661591968,-5.72080837712797,-99.7279302842313,0.0236497230055957,NA,2.66640616561108,10,-297.232545748947,614.465091497894,1.83266498838259,0.00356549720840161
-18.1056122208263,NA,0.007538778324549,0.00155161073656406,0.508672995243845,NA,68.2473732168611,NA,12.1808165004579,NA,-73.821088186834,0.0236780787073731,NA,2.97265531357243,10,-297.262121351204,614.524242702409,1.89181619289718,0.00346158961989855
-14.7017974907555,NA,0.00783348997715965,NA,0.537163181755736,10.1595192642509,37.7176691942277,11.6071822929388,NA,NA,-73.2937217427562,0.0236403181169516,NA,2.7003542486453,10,-297.271706406047,614.543412812093,1.91098630258125,0.00342856860050417
-13.1553215547828,NA,0.00799100285112939,NA,0.531094399750596,8.39083063019345,NA,18.1882867679837,NA,11.2571727101241,-51.167301425082,0.0238844760684185,NA,2.7531184349646,10,-297.296797785376,614.593595570752,1.96116906123984,0.00334361138921435
-18.7727408952102,1.32485079938742,0.00781301188065773,NA,0.548354558078927,NA,70.6287541663819,NA,12.7707687426754,NA,-76.8583558903785,0.0237143370546172,NA,2.87906459460809,10,-297.29932756872,614.598655137439,1.96622862792753,0.00333516346702546
-7.54198863042078,NA,0.00604611371650833,NA,0.378590761251494,12.6360611890021,NA,20.5317064398979,NA,NA,-64.8889798391584,0.0228188916838956,-1.19598649202024,2.51223463970062,10,-297.319388687884,614.638777375769,2.00635086625698,0.00326892300569012
-10.1811331914944,-37.0276319455225,0.00591838322724653,0.0279742717889747,NA,NA,12.2039218819611,NA,NA,9.46153027662842,NA,0.0274867815980636,NA,3.54540993544607,9,-298.325910835397,614.651821670794,2.01939516128255,0.00324767198411982
-19.9653975488711,NA,0.00698839598008094,NA,0.459501864734563,-28.0243137313099,137.333207615175,8.11481419813839,54.647681755396,NA,-185.126362304033,0.0233588617579328,NA,2.4618403849196,11,-296.340101580268,614.680203160536,2.04777665102449,0.00320191056184264
-18.9613286169109,NA,0.00828450942481283,NA,0.580829467891038,NA,78.0155535354799,NA,NA,NA,-66.9456305255683,0.026092598550498,-1.23980923014162,3.34457538449562,9,-298.35366604677,614.70733209354,2.07490558402833,0.0031587715932747
-10.374014082812,-39.7920467951302,0.00591685892823085,0.0285172005476834,NA,NA,47.9398674792354,NA,7.11923047483079,NA,-47.2843293367685,0.0266448881794842,NA,3.10426841051776,10,-297.356031095341,614.712062190682,2.07963568116986,0.00315130977229529
-21.3614220365075,NA,0.00601538596577377,0.00311074119133351,0.360558416700431,-37.7826413025219,160.872142439069,NA,64.4891278007352,NA,-186.037086491029,0.0232720487684994,NA,2.95042318855409,11,-296.359617693256,614.719235386513,2.08680887700109,0.00314002753575181
-10.7699962478981,5.62670788434694,0.00476622562761084,NA,0.297133651667677,10.7207883184898,NA,NA,NA,NA,NA,0.0237163568716866,NA,3.04141169043433,8,-299.385104047834,614.770208095669,2.13778158615685,0.00306101088092013
-10.8063227626979,NA,0.00553173853517526,NA,0.333903993595825,10.7508119700613,NA,NA,NA,NA,NA,0.0247109398744266,-0.86458429827924,2.6516003571709,8,-299.406078101594,614.812156203189,2.17972969367713,0.0029974776776163
-13.5258963674048,NA,0.00711582420741594,NA,0.475530214781806,NA,54.8552121873039,14.2854569436789,14.3156621112357,NA,-105.05041170947,0.0229500955758859,-1.01540232114506,2.66677302250051,11,-296.406431364573,614.812862729145,2.18043621963352,0.00299641896673752
-14.6723808552217,NA,0.00872113453354063,NA,0.561754060519406,NA,-38.2847179456658,18.5778522087577,NA,30.4335872381324,NA,0.0261224471325602,NA,3.17789971402659,9,-298.43021346304,614.86042692608,2.22800041656842,0.0029259985277771
-25.0771381628278,NA,0.00759166047256711,NA,0.500634540756711,-45.7724967592546,161.88756689956,NA,73.9206181453673,9.59811750894039,-187.964053587182,0.0243026275087084,NA,2.65733543323024,11,-296.431020218421,614.862040436843,2.22961392733112,0.00292363891466228
-13.591643837079,NA,0.00831663518748439,NA,0.547930239030104,NA,NA,20.0288182664201,NA,19.0036094006864,-45.4654665834654,0.025299395849308,-1.23913415073439,3.23816211280358,10,-297.453827654674,614.907655309349,2.2752287998369,0.00285771286631703
-22.2825401325837,3.35858354374993,0.00644486136942245,NA,0.433778527856913,-36.1811898799399,160.411832904794,NA,63.2086785305205,NA,-185.794765078628,0.0232239889849186,NA,2.83207760066341,11,-296.462104908134,614.924209816268,2.29178330675632,0.00283415647819791
-12.1438347290649,NA,0.00617562461527353,NA,0.395125923373501,14.1666673760783,NA,NA,NA,NA,-5.75268470058352,0.0241631226212122,NA,2.45794088472822,8,-299.464789369889,614.929578739777,2.29715223026562,0.00282655849633415
-15.2449583131808,NA,0.00712947481663024,0.00382349051587211,0.426572716669034,NA,NA,4.79288467379852,NA,17.6025402767821,NA,0.0254061006551724,NA,3.66393880116765,9,-298.468846292713,614.937692585427,2.30526607591514,0.00281511459586127
-17.7273934550867,NA,0.00819206150883662,NA,0.576765769275912,6.73424668691456,54.0525588309842,NA,NA,NA,-52.6873675581924,0.0243203950796776,-0.743290691327513,2.98642659153987,10,-297.517250102101,615.034500204202,2.40207369469067,0.00268209756093284
