"(Intercept)","logAI_snv","logARVI_snv","logElev_snv","logEVI_snv","logHeight_snv","logLAI_snv","logMAP_snv","logMAT_snv","logNDVI_snv","logPRI_snv","logPropBare_snv","logPropShrub_snv","logSAVI_snv","df","logLik","AIC","delta","weight"
1.05291190839335e-16,0.466535737787734,-0.153654207530105,NA,NA,0.408948419500178,NA,-0.265942882729277,NA,0.474960265931037,NA,NA,NA,NA,7,-137.892629515473,289.785259030947,0,0.0201007422674587
2.22650437777542e-17,0.484998547389042,-0.153763307624963,NA,NA,0.341646145211602,NA,-0.241127376641072,NA,0.475962241482594,NA,NA,0.0827953204132144,NA,8,-137.070146230073,290.140292460146,0.355033429198613,0.016831296301745
-7.94261161477101e-17,0.224285688311069,-0.153587050515602,NA,NA,0.409286621014069,NA,NA,-0.20469692710514,0.449462954291841,NA,NA,NA,NA,7,-138.124803109481,290.249606218962,0.464347188014642,0.0159360390155654
-1.45069336323282e-16,0.265017538556985,-0.153936273723292,NA,NA,0.344295448248802,NA,NA,-0.183942113083302,0.452053649283905,NA,NA,0.0788189886551916,NA,8,-137.393448573333,290.786897146666,1.00163811571895,0.012181734835327
-2.24554487640494e-16,NA,-0.150792833606976,NA,NA,0.41342569431535,NA,0.232973315644284,-0.391678327984478,0.430028261285035,NA,NA,NA,NA,7,-138.576076778847,291.152153557694,1.3668945267475,0.0101483332455126
9.47821144931862e-17,0.458622321092626,-0.150757278857135,NA,NA,0.396288097757834,NA,-0.25604683844044,NA,0.544946875870482,NA,NA,NA,-0.0704169481223735,8,-137.818096249226,291.636192498451,1.85093346750415,0.00796685658702237
1.09263674933569e-16,0.465973187005806,-0.15420631856281,NA,-0.0514472529424764,0.39958170606483,NA,-0.263515575604622,NA,0.528906489507164,NA,NA,NA,NA,8,-137.853328244279,291.706656488558,1.92139745761119,0.00769105537718333
1.07079930663743e-16,0.462220630607642,-0.152435855445852,NA,NA,0.403590452093673,-0.0353807867828773,-0.26093833403781,NA,0.509796437711795,NA,NA,NA,NA,8,-137.873129266711,291.746258533423,1.96099950247572,0.00754026247087305
1.0469364885246e-16,0.463026920290234,-0.152823852803137,NA,NA,0.410651361503691,NA,-0.262588606353834,NA,0.467566587063361,-0.009998254343008,NA,NA,NA,8,-137.878034439794,291.756068879589,1.97080984864175,0.00750336674230748
1.60475354710731e-16,0.543599714919216,-0.153876199114911,NA,NA,0.408094527138185,NA,-0.349035351713956,0.0661157031011303,0.482399398155602,NA,NA,NA,NA,8,-137.878280323775,291.75656064755,1.97130161660289,0.0075015220114294
3.35168989767817e-17,0.483906749289778,-0.156241646763862,NA,NA,0.329250638662053,NA,-0.249560815805135,NA,0.463259629484429,NA,-0.0704839066537173,0.0984004470392737,NA,9,-136.885833665913,291.771667331826,1.98640830087913,0.00744507390343424
