"(Intercept)","logAI_snv","logARVI_snv","logEVI_snv","logHeight_snv","logLAI_snv","logNDVI_snv","logPRI_snv","logPropBare_snv","logPropShrub_snv","logSAVI_snv","df","logLik","AIC","delta","weight"
-1.20988783124074e-16,0.349532220927876,NA,NA,0.508050090920213,NA,NA,-0.158323701146895,NA,NA,NA,5,-153.054501568389,316.109003136778,0,0.0447254066807969
-1.70769060921194e-16,0.384265529437947,NA,NA,0.447352685384909,NA,NA,-0.155544226644836,NA,0.0901554060417087,NA,6,-152.19137483892,316.382749677839,0.27374654106103,0.0390041656413272
-1.80982985162067e-16,0.372054680831497,NA,NA,0.39960620416743,NA,NA,-0.142442295835099,-0.136832573871892,0.128057275196027,NA,7,-151.50907031198,317.018140623959,0.909137487180942,0.0283881833308386
-1.16942667492773e-16,0.33940638177815,NA,NA,0.499655390725305,NA,NA,-0.153817073677537,-0.0516744798438192,NA,NA,6,-152.9369489149,317.8738978298,1.76489469302129,0.0185059883770298
-1.15383796493503e-16,0.34987308354713,-0.0202605022531864,NA,0.513824139988755,NA,NA,-0.160796403019521,NA,NA,NA,6,-152.985784403324,317.971568806648,1.8625656698693,0.0176239520246757
-1.19170392899378e-16,0.349711724474753,NA,-0.0135342762084241,0.511525186597396,NA,NA,-0.16547274127354,NA,NA,NA,6,-153.034246390744,318.068492781488,1.95948964471023,0.0167902254715319
-1.16072499202485e-16,0.349637218449667,NA,NA,0.511285984020707,NA,NA,-0.162638492818949,NA,NA,-0.0111730935143819,6,-153.037719904349,318.075439808698,1.96643667192012,0.0167320055672779
-1.23293571712397e-16,0.349364666992882,NA,NA,0.505506380224211,NA,0.00800384113524847,-0.154127145260621,NA,NA,NA,6,-153.048031255214,318.096062510429,1.98705937365025,0.0165603624442421
-1.18557459291595e-16,0.349643504117234,NA,NA,0.509951097900963,-0.00675597396056928,NA,-0.160929396131327,NA,NA,NA,6,-153.048333068547,318.096666137093,1.98766300031491,0.0165553650602447
-1.64996118081797e-16,0.385167709795491,-0.0234938115664698,NA,0.453162339119522,NA,NA,-0.158370973705602,NA,0.0914711928270219,NA,7,-152.098123689289,318.196247378578,2.08724424180014,0.015751248018028
-1.77495950660194e-16,0.38471440013579,NA,NA,0.439787682823074,NA,0.019132893837889,-0.145444539018264,NA,0.0923601546340759,NA,7,-152.15450455789,318.309009115781,2.20000597900264,0.0148877500836591
-1.73927382749611e-16,0.384650279023861,NA,NA,0.444571844602782,0.00679789651271398,NA,-0.152882613207764,NA,0.0914447243982677,NA,7,-152.18523800924,318.37047601848,2.26147288170176,0.0144371577362575
-1.71257691744661e-16,0.384383110642036,NA,0.0020872813853083,0.446562895814811,NA,NA,-0.154430063755101,NA,0.0905324615962258,NA,7,-152.190902997815,318.38180599563,2.27280285885172,0.014355602625119
-1.71760532148217e-16,0.384377457258193,NA,NA,0.446596239603212,NA,NA,-0.154826176645097,NA,0.0904906327649239,0.00183261828645976,7,-152.190930420937,318.381860841874,2.2728577050961,0.0143552089550719
-1.73812490133068e-16,0.372526256350461,-0.0317228789843933,NA,0.404531417316464,NA,NA,-0.145458063632402,-0.145198921364422,0.13215136862565,NA,8,-151.340050974312,318.680101948624,2.57109881184601,0.0123665137587752
-3.89519784969988e-17,0.342848341285338,NA,NA,0.519308903327392,0.96017084464125,NA,-0.163265373415357,NA,NA,-0.971750284839732,7,-152.469586489799,318.939172979598,2.83016984282023,0.0108640242272453
-9.014767025454e-17,0.379613280620959,NA,NA,0.450309419816159,1.07233760438478,NA,-0.154892633653528,NA,0.097830311243148,-1.06990391115603,8,-151.47959383011,318.95918766022,2.85018452344138,0.0107558464284881
-1.84442304209716e-16,0.372461956287979,NA,NA,0.39621213002016,NA,0.0102367199719692,-0.137217944946889,-0.134959912714869,0.128718170517432,NA,8,-151.498553845284,318.997107690568,2.88810455378945,0.0105538365239657
-1.78765847505588e-16,0.371739005643026,NA,NA,0.401102307348797,NA,NA,-0.144020096629735,-0.137502008774079,0.127476172239016,-0.00419048307826951,8,-151.506742724413,319.013485448827,2.90448231204857,0.0104677653266114
-1.80282993697317e-16,0.371848696056839,NA,-0.00310181801528766,0.400657673651909,NA,NA,-0.144064471707945,-0.137182783376622,0.127593955451765,NA,8,-151.508023703988,319.016047407976,2.90704427119823,0.0104543649176914
-1.81461710142135e-16,0.372128972078293,NA,NA,0.399230700142212,0.00105649362510246,NA,-0.142044195029392,-0.136670140212168,0.128212661102333,NA,8,-151.50892176192,319.01784352384,2.90884038706167,0.0104449805068589
-1.03402749730937e-16,0.347277588935812,NA,NA,0.496803935046057,NA,0.177907442872698,-0.125440523998874,NA,NA,-0.156396812588377,7,-152.674892170608,319.349784341215,3.24078120443721,0.00884764321401572
-9.36698151883604e-17,0.366137117928162,NA,NA,0.402777489598202,1.12257944325203,NA,-0.143564262591949,-0.144187523406672,0.136958015810036,-1.12643353994718,9,-150.72162814414,319.44325628828,3.3342531515014,0.00844365394271753
-1.43899280494066e-16,0.348365696020162,NA,-0.142760075746244,0.498251298799589,NA,0.146169270535023,-0.157092915097724,NA,NA,NA,7,-152.722015078262,319.444030156524,3.33502701974589,0.00844038743689268
